"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: minSpareThreads","Param: queueSize","Param: range","Param: tasks","Param: threads"
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,32.997542,11.140428,"us/op",0,4,,8,12
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,33.851719,20.338843,"us/op",0,4,,8,16
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,33.596802,20.988840,"us/op",0,4,,8,20
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,74.626771,9.648779,"us/op",0,4,,32,12
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,79.420592,110.551760,"us/op",0,4,,32,16
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,77.805456,71.121547,"us/op",0,4,,32,20
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,137.835662,295.327119,"us/op",0,4,,64,12
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,137.148510,311.860138,"us/op",0,4,,64,16
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,144.290002,257.897818,"us/op",0,4,,64,20
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,33.064367,20.568049,"us/op",0,32,,8,12
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,32.465983,1.044019,"us/op",0,32,,8,16
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,33.038956,4.560619,"us/op",0,32,,8,20
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,74.403141,2.681992,"us/op",0,32,,32,12
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,78.518804,125.904464,"us/op",0,32,,32,16
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,80.562386,140.690846,"us/op",0,32,,32,20
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,131.748324,138.748859,"us/op",0,32,,64,12
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,131.798512,138.688198,"us/op",0,32,,64,16
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,148.882219,366.397261,"us/op",0,32,,64,20
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,34.658740,22.112240,"us/op",0,128,,8,12
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,32.703376,4.226583,"us/op",0,128,,8,16
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,32.459521,4.740850,"us/op",0,128,,8,20
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,78.537073,135.864575,"us/op",0,128,,32,12
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,78.770945,149.032875,"us/op",0,128,,32,16
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,75.597868,26.773785,"us/op",0,128,,32,20
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,131.793925,162.227704,"us/op",0,128,,64,12
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,136.990529,323.541292,"us/op",0,128,,64,16
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,157.389243,172.355521,"us/op",0,128,,64,20
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,33.069820,32.243248,"us/op",1,4,,8,12
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,33.248800,28.386616,"us/op",1,4,,8,16
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,33.666216,33.915305,"us/op",1,4,,8,20
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,74.300032,4.427282,"us/op",1,4,,32,12
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,82.634534,147.693212,"us/op",1,4,,32,16
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,81.596655,161.447683,"us/op",1,4,,32,20
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,132.197197,146.008519,"us/op",1,4,,64,12
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,141.786113,463.706305,"us/op",1,4,,64,16
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,164.116952,421.154744,"us/op",1,4,,64,20
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,33.629249,33.471272,"us/op",1,32,,8,12
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,33.868074,33.928607,"us/op",1,32,,8,16
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,33.891815,35.526739,"us/op",1,32,,8,20
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,77.409955,97.929140,"us/op",1,32,,32,12
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,74.433086,2.652227,"us/op",1,32,,32,16
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,75.306989,29.004138,"us/op",1,32,,32,20
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,137.432969,213.106844,"us/op",1,32,,64,12
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,136.855223,151.811930,"us/op",1,32,,64,16
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,155.952508,376.301538,"us/op",1,32,,64,20
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,32.135346,41.448115,"us/op",1,128,,8,12
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,31.917145,24.862153,"us/op",1,128,,8,16
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,35.504801,42.511320,"us/op",1,128,,8,20
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,82.701149,109.424771,"us/op",1,128,,32,12
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,82.732491,192.499605,"us/op",1,128,,32,16
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,85.286085,191.784238,"us/op",1,128,,32,20
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,138.091555,131.952344,"us/op",1,128,,64,12
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,149.402339,444.957883,"us/op",1,128,,64,16
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,157.131260,533.368930,"us/op",1,128,,64,20
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,39.786357,41.493461,"us/op",5,4,,8,12
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,32.683473,39.523712,"us/op",5,4,,8,16
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,34.514070,44.039313,"us/op",5,4,,8,20
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,82.008745,156.954311,"us/op",5,4,,32,12
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,81.084750,139.017907,"us/op",5,4,,32,16
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,77.893275,23.158265,"us/op",5,4,,32,20
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,147.574627,457.848683,"us/op",5,4,,64,12
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,157.551493,379.903601,"us/op",5,4,,64,16
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,162.727465,129.563234,"us/op",5,4,,64,20
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,34.410190,45.820559,"us/op",5,32,,8,12
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,33.582926,36.657702,"us/op",5,32,,8,16
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,34.166047,29.217138,"us/op",5,32,,8,20
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,82.799164,165.910111,"us/op",5,32,,32,12
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,84.388967,177.410567,"us/op",5,32,,32,16
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,86.341081,181.975710,"us/op",5,32,,32,20
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,142.616706,293.832521,"us/op",5,32,,64,12
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,157.230238,476.555270,"us/op",5,32,,64,16
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,163.231694,432.079330,"us/op",5,32,,64,20
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,35.481647,53.473445,"us/op",5,128,,8,12
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,33.134964,46.467204,"us/op",5,128,,8,16
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,35.077157,52.060262,"us/op",5,128,,8,20
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,80.894159,119.232254,"us/op",5,128,,32,12
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,81.859595,142.327685,"us/op",5,128,,32,16
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,90.374131,198.266484,"us/op",5,128,,32,20
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,139.450337,187.844571,"us/op",5,128,,64,12
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,152.566433,415.338174,"us/op",5,128,,64,16
"org.example.CustomPoolTuning.customPoolBenchmark","avgt",1,3,170.975405,297.953530,"us/op",5,128,,64,20
"org.example.PoolsBenchmark.customPoolBenchmark","avgt",1,3,141.045841,153.032557,"us/op",,,10000,64,8
"org.example.PoolsBenchmark.forkJoinPoolBenchmark","avgt",1,3,37.664710,12.197700,"us/op",,,10000,64,8
"org.example.PoolsBenchmark.threadPoolExecutorBenchmark","avgt",1,3,35.220952,31.431430,"us/op",,,10000,64,8
